index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
89,Andreas,[],{},0,0,7,0.0
90,Fault,[],{},0,0,5,0.0
91,that,[],{},0,0,4,0.0
92,stretches,[],{},0,0,9,0.0
93,50,[],{},0,0,2,0.0
94,miles,[],{},0,0,5,0.0
95,from,[],{},0,0,4,0.0
96,Palo,[],{},0,0,4,0.0
97,Alto,[],{},0,0,4,0.0
98,southward,[],{},0,0,9,0.0
99,through,[],{},0,0,7,0.0
100,the,[],{},0,0,3,0.0
101,Santa,[],{},0,0,5,0.0
102,Cruz,[],{},0,0,4,0.0
103,Mountains,[],{},0,0,9,0.0
104,and,[],{},0,0,3,0.0
105,on,[],{},0,0,2,0.0
106,to,[],{},0,0,2,0.0
107,San,[],{},0,0,3,0.0
108,Juan,[],{},0,0,4,0.0
109,Bautista.,[],{},0,0,9,0.0
110,The,[1],{1: 206},1,206,3,68.66666666666667
111,quake,[],{},0,0,5,0.0
112,was,[],{},0,0,3,0.0
113,centered,[],{},0,0,8,0.0
114,on,[],{},0,0,2,0.0
115,the,[],{},0,0,3,0.0
116,San,[],{},0,0,3,0.0
117,Andreas,[],{},0,0,7,0.0
118,segment,[],{},0,0,7,0.0
119,described,[],{},0,0,9,0.0
120,in,[],{},0,0,2,0.0
121,the,[],{},0,0,3,0.0
122,"article,",[],{},0,0,8,0.0
123,but,[],{},0,0,3,0.0
124,Tom,[],{},0,0,3,0.0
125,"Heaton,",[],{},0,0,7,0.0
126,the,[],{},0,0,3,0.0
127,scientist,[],{},0,0,9,0.0
128,in,[],{},0,0,2,0.0
129,charge,[],{},0,0,6,0.0
130,of,[],{},0,0,2,0.0
131,the,[],{},0,0,3,0.0
132,U.S.,[],{},0,0,4,0.0
133,Geological,[],{},0,0,10,0.0
134,Survey,"[2, 4, 6, 8, 10, 12]","{2: 54, 4: 1, 6: 1, 8: 1, 10: 1, 12: 1}",6,59,6,9.833333333333334
135,office,[],{},0,0,6,0.0
136,in,[],{},0,0,2,0.0
137,"Pasadena,",[],{},0,0,9,0.0
138,said,[],{},0,0,4,0.0
139,it,[],{},0,0,2,0.0
140,wasn't,[],{},0,0,6,0.0
141,clear,[],{},0,0,5,0.0
142,yet,[],{},0,0,3,0.0
143,whether,[],{},0,0,7,0.0
144,it,[],{},0,0,2,0.0
145,broke,[],{},0,0,5,0.0
146,all,[],{},0,0,3,0.0
147,or,[],{},0,0,2,0.0
148,part,[],{},0,0,4,0.0
149,of,[],{},0,0,2,0.0
150,the,[],{},0,0,3,0.0
151,50-mile,[],{},0,0,7,0.0
152,segment.,[],{},0,0,8,0.0
153,The,[],{},0,0,3,0.0
154,epicenter,[],{},0,0,9,0.0
155,of,[],{},0,0,2,0.0
156,the,[],{},0,0,3,0.0
157,quake,[],{},0,0,5,0.0
158,was,[],{},0,0,3,0.0
159,about,[],{},0,0,5,0.0
160,8,[],{},0,0,1,0.0
161,miles,[],{},0,0,5,0.0
